Name of affiliated standard sample;Test mode;Light source/angle;L*;a*;b*;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm
-;M0;D50/2°;93,84;-10,51;76,01;11,68;12,04;12,11;12,23;12,05;12,54;14,06;16,61;21,5;30,73;45,41;63,85;82,74;96,68;100,94;97,04;90,5;84,7;82,94;86,6;90,87;92,31;91,97;91,34;90,6;90,22;89,72;89,85;90,28;91,04;92,05
-;M0;D50/2°;34,96;-28,42;-16,66;6,68;9,13;10,35;10,91;11,41;12,42;14,04;16,24;18,82;21,2;22,54;21,85;18,88;14,33;9,89;6,58;4,39;3,13;2,79;3,02;3,32;3,77;4,45;4,64;4,34;4;3,82;3,99;4,37;4,71;4,95
-;M0;D50/2°;57,51;66,67;-15,56;40,96;44,65;45,28;44,69;43,11;40,7;37,27;32,63;27,15;21,43;16,66;13,24;10,91;9,31;8,29;7,67;7,4;9,64;18,44;34,89;53,12;67,8;77,12;83,48;87,79;90,96;92,02;91,9;90,81;89,69;88,64
-;M0;D50/2°;53,07;-56,86;0,7;10,76;13,31;14,48;14,91;14,94;15,96;18,54;22,5;28,05;35,11;42,53;47,74;48,3;42,72;33,2;23,07;14,14;7,5;4,7;5,32;6,88;7,92;8,28;7,92;7,13;6,45;6,25;6,71;7,55;8,26;8,75
-;M0;D50/2°;25,98;19,45;-17,26;8,79;10,67;11,03;10,92;10,54;10,02;9,3;8,3;7,1;5,82;4,73;3,94;3,47;3,35;3,42;3,46;3,45;3,64;4,3;5,44;6,57;7,31;7,51;7,67;8,1;8,85;9,69;10,45;11,05;11,61;12,15
-;M0;D50/2°;89,64;5,71;15,19;39,63;46,07;49,53;51,95;54,47;56,94;58,94;60,75;62,78;65,16;67,95;70,9;73,19;73,9;73,02;71,36;69,97;70,26;74;81,12;87,1;89,75;90,47;90,31;89,86;89,9;89,66;89,83;90,06;90,48;91,05
-;M0;D50/2°;35,47;26,01;-46,35;26,43;31,3;33,06;34,39;35,89;36,1;33,93;29,92;24,57;18,51;13,09;9,34;7,4;6,97;7,05;6,68;5,85;5,45;6,32;8,25;10,02;10,71;10,13;9,94;10,88;12,72;14,73;16,15;16,83;17,39;17,92
-;M0;D50/2°;83,08;-28,94;27,53;23;26,73;28,47;29,6;30,52;32,01;34,29;37,51;42,62;50,69;61,66;73,41;82,79;85,97;81,65;72,58;62,57;53,97;49,06;47,88;48,1;48,5;48,73;48,67;48,48;48,83;49,45;50,37;51,16;51,85;52,43
-;M0;D50/2°;78,65;18,93;-21,74;61,2;67,5;72,1;76,48;81,65;85,06;84,97;81,99;76,94;70,27;63,2;57,2;52,29;48,49;45,95;44,25;43,15;44,25;49,7;58,63;65,99;69,28;69,44;69,12;69,55;70,98;72,03;72,51;72,17;71,85;71,63
-;M0;D50/2°;56,01;3,5;-38,28;37,47;44,47;48,21;51,61;55,86;58,68;58,38;55,87;51,73;46,24;40,41;35,11;30,43;26,57;23,6;20,94;18,45;17,04;17,5;19,02;20,12;20,43;20,04;19,85;20,36;21,62;22,87;23,46;23,2;22,82;22,38
-;M0;D50/2°;38,48;-42,9;5,15;4,99;5,93;6,29;6,14;5,6;5,77;7,14;9,45;12,72;16,86;21,14;24;24,16;21,03;15,93;10,65;6,13;2,93;1,89;2,86;4,29;5,17;5,48;5,29;4,79;4,31;4,08;4,3;4,82;5,3;5,67
-;M0;D50/2°;68,88;-19,62;-39,01;48,88;57,19;63,23;69,78;78,55;85,31;87,23;85,73;82,04;76,99;71,49;66,45;61,03;54,64;47,52;39,76;32,15;26,35;23,54;22,49;21,56;20,97;20,8;20,87;21,43;22,87;24,43;25,18;24,76;24,15;23,44
-;M0;D50/2°;62,02;51,25;35,83;8,78;10,54;11,03;10,74;10,06;10,09;11,11;12,74;14,78;16,92;18,77;19,29;18,05;15,29;12,69;11,72;12,48;16,29;26,79;44,55;62,25;75,13;83;87,35;89,16;89,97;89,54;89,4;89,57;90,05;90,78
-;M0;D50/2°;75,1;-32,03;78,14;6,02;3,92;3,01;3,23;3,51;3,63;3,33;2,91;4,22;10,29;23,1;41,14;59,95;72,8;74,28;66,03;54,1;43,11;37,14;36,99;38,83;39,35;38,03;37,2;37,24;37,94;38,88;39,6;39,89;40,23;40,66
-;M0;D50/2°;68,68;-38,06;15,37;16,63;19,91;21,33;22,06;22,51;23,63;25,74;28,87;33,58;40,4;48,85;56,75;61,52;60,72;54,69;45,97;37,03;29,54;25,12;23,54;23,29;23,58;23,91;23,9;23,66;23,78;24,25;25,06;25,84;26,47;26,91
-;M0;D50/2°;39,71;-27,16;-35,01;9,9;14,61;17,65;20,36;24,06;27,75;30,5;32,97;35,03;35,94;34,97;31,45;25,45;18,22;11,91;7,4;4,49;2,95;2,77;3,19;3,28;3,57;4,46;4,76;4,46;4,21;4,16;4,36;4,62;4,87;5,05
-;M0;D50/2°;28,05;-15,04;-10,38;4,85;6,22;6,8;6,97;7,03;7,33;7,91;8,71;9,66;10,58;11,15;10,91;9,76;7,98;6,22;4,84;3,87;3,28;3,07;3,08;3,18;3,38;3,71;3,85;3,77;3,68;3,64;3,72;3,88;4,02;4,13
-;M0;D50/2°;63,39;19,23;27,55;10,44;13,08;13,99;13,99;13,56;13,83;15,18;17,32;20,08;23,09;25,87;27,49;27,54;26,18;24,66;24,05;24,44;26,45;31,73;40,06;47,37;51,72;53,56;54;53,92;54,14;54,28;54,93;55,88;56,98;58,2
-;M0;D50/2°;70,44;44,9;3,23;31,18;36,52;38,53;39,29;39,63;39,87;39,81;39,41;38,58;37,02;35;32,41;29,02;25,09;22,14;21,38;22,54;27,1;38,78;57,47;74,77;85,01;89,05;90,54;91,16;91,73;91,45;91,42;91,55;91,95;92,61
-;M0;D50/2°;46,19;35,6;-20,64;22,99;27,38;28,67;29,08;29,14;28,73;27,51;25,49;22,79;19,55;16,33;13,43;10,99;9,32;8,5;8,27;8,39;9,58;13,25;19,3;24,98;28,85;30,49;31,42;32,91;35,44;38,2;40,86;43,14;45,36;47,55
-;M0;D50/2°;65,38;-10,05;-15,22;29,59;36,12;39,53;42,37;45,89;48,72;49,76;49,71;49,04;47,91;46,67;45,34;43,53;41,16;38,43;35,26;31,96;29,42;28,18;27,63;27,1;27;27,24;27,48;27,87;28,84;29,85;30,54;30,63;30,6;30,5
-;M0;D50/2°;36,35;43,06;1,57;9,54;11,23;11,37;10,87;9,9;9,09;8,59;7,96;7,23;6,6;6,05;5,23;4,29;3,78;3,78;3,87;3,89;4,35;6,42;10,65;15,84;21,63;26,63;30,22;33,4;37,47;41,87;46,36;50,61;54,74;58,79
